Country_code;Year_decision;Country;Country_short;Region;Income_group;Year_first_decision;Year_target;Year_latest_target;Target_minimum;Target_maximum;Target_average;Unit;Target_type;RE_technology;Target_consistent;Miscellaneous;Source;Note.changes;added_in_version;change_reason;status;status_changed_in_version
BGR;2023;Bulgaria;Bulgaria;Europe & Central Asia;High income;2009;2030;2030;NA;91;91;Percent;Electricity;All technologies;91;;https://ember-energy.org/data/live-eu-necp-tracker/#data-tool;;V1;;active;V1
BHR;2014;Bahrain;Bahrain;Middle East & North Africa;High income;2014;2030;2030;NA;5;5;Percent;Electricity;All technologies;5;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2015_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BHR;2019;Bahrain;Bahrain;Middle East & North Africa;High income;2014;2030;2030;NA;10;10;Percent;Electricity;All technologies;10;;https://www.ren21.net/wp-content/uploads/2019/05/gsr_2020_full_report_en.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BHR;2019;Bahrain;Bahrain;Middle East & North Africa;High income;2014;2025;2030;NA;5;5;Percent;Electricity;All technologies;5;;https://www.ren21.net/wp-content/uploads/2019/05/gsr_2020_full_report_en.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BHS;2012;Bahamas;Bahamas;Latin America & Caribbean;High income;2012;2030;2030;NA;30;30;Percent;Electricity;All technologies;30;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BHS;2012;Bahamas;Bahamas;Latin America & Caribbean;High income;2012;2020;2030;NA;15;15;Percent;Electricity;All technologies;15;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BHS;2020;Bahamas;Bahamas;Latin America & Caribbean;High income;2020;2030;2030;NA;30;30;Percent;Final energy;All technologies;30;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BIH;2012;Bosnia and Herzegovina;Bosnia&Herzegovina;Europe & Central Asia;Upper middle income;2012;2020;2020;NA;40;40;Percent;Final energy;All technologies;40;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2013_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BIH;2020;Bosnia And Herzegovina;Bosnia&Herzegovina;Europe & Central Asia;Upper middle income;2020;2030;2030;NA;57;57;Percent;Electricity;All technologies;57;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2021_Full_Report.pdf;;V3;New non-EU-27 observation added in V3;active;V3
BLR;2014;Belarus;Belarus;Europe & Central Asia;Upper middle income;2014;2015;2035;NA;28;28;Percent;Final energy;All technologies;28;;https://www.ren21.net/wp-content/uploads/2019/05/GSR2015_Full-Report_English.pdf;;V3;New non-EU-27 observation added in V3;active;V3
